id,short_name,genus,species,display_name,tax_id
1,anogla,Anoplophora,glabripennis,Anoplophora glabripennis,217634
2,athros,Athalia,rosae,Athalia rosae,37344
3,cercap,Ceratitis,capitata,Ceratitis capitata,7213
4,cimlec,Cimex,lectularius,Cimex lectularius,79782
5,diacit,Diaphorina,citri,Diaphorina citri,121845
6,drobia,Drosophila,biarmipes,Drosophila biarmipes,125945
7,drobip,Drosophila,bipectinata,Drosophila bipectinata,42026
8,droele,Drosophila,elegans,Drosophila elegans,30023
9,droeug,Drosophila,eugracilis,Drosophila eugracilis,29029
10,drofic,Drosophila,ficusphila,Drosophila ficusphila,30025
11,drokik,Drosophila,kikkawai,Drosophila kikkawai,30033
12,drorho,Drosophila,rhopaloa,Drosophila rhopaloa,1041015
13,drotak,Drosophila,takahashii,Drosophila takahashii,29030
14,ephdan,Ephemera,danica,Ephemera danica,1049336
15,euraff,Eurytemora,affinis,Eurytemora affinis,88015
16,fraocc,Frankliniella,occidentalis,Frankliniella occidentalis,133901
17,ladful,Ladona,fulva,Ladona fulva,123851
18,lepdec,Leptinotarsa,decemlineata,Leptinotarsa decemlineata,7539
19,oncfas,Oncopeltus,fasciatus,Oncopeltus fasciatus,7536
20,oruabi,Orussus,abietinus,Orussus abietinus,222816
21,pacven,Pachypsylla,venusta,Pachypsylla venusta,38123
22,partep,Parasteatoda,tepidariorum,Parasteatoda tepidariorum,114398
23,tripre,Trichogramma,pretiosum,Trichogramma pretiosum,7493
24,censcu,Centruroides,sculpturatus,Centruroides sculpturatus,6879
25,copflo,Copidosoma,floridanum,Copidosoma floridanum,29053
26,gerbue,Gerris,buenoi,Gerris buenoi,56086
27,homvit,Homalodisca,vitripennis,Homalodisca vitripennis,197043
28,lathes,Latrodectus,hesperus,Latrodectus hesperus,256737
29,limlun,Limnephilus,lunatus,Limnephilus lunatus,1218281
30,loxrec,Loxosceles,reclusa,Loxosceles reclusa,6921
31,onttau,Onthophagus,taurus,Onthophagus taurus,166361
32,tigcal,Tigriopus,californicus,Tigriopus californicus,6832
33,agrpla,Agrilus,planipennis,Agrilus planipennis,224129
34,mansex,Manduca,sexta,Manduca sexta,7130
35,maydes,Mayetiola,destructor,Mayetiola destructor,39758
36,halhal,Halyomorpha,halys,Halyomorpha halys,286706
