id,organism,type,fasta_file,title,description,is_shown
189,52,1,/usr/local/i5k/media/blast/db/178035_ref_ASM127255v1_chrUn_RefSeqIDs.fa,178035_ref_ASM127255v1_chrUn_RefSeqIDs.fa,"Dufourea novaeangliae RefSeq assembly, ASM127255v1",True
133,41,1,/usr/local/i5k/media/blast/db/64838_ref_asm80636v1_chrun_refseq_ids.fa,64838_ref_asm80636v1_chrun_refseq_ids.fa,Fopius arisanus NCBI-RefSeq scaffolds,True
1,1,1,/usr/local/i5k/media/blast/db/Agla_Btl03082013.genome_new_ids.fa,Agla_Btl03082013.genome_new_ids.fa,Agla_Btl03082013.genome_new_ids.fa,True
106,22,3,/usr/local/i5k/media/blast/db/aug3.1.aa_new_ids.fa,Augustus_set_v3.0_proteins,Augustus_set_v3.0_proteins,True
105,22,2,/usr/local/i5k/media/blast/db/aug3.1.mrna_new_ids.fa,Augustus_set_v3.0_transcripts,Augustus_set_v3.0_transcripts,True
868,42,2,/usr/local/i5k/media/blast/db/Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_cds.fa,Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_cds.fa,"Bactrocera dorsalis Bdor_v1 MAKER annotations-BDOR1.1, CDS",True
867,42,3,/usr/local/i5k/media/blast/db/Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_pep.fa,Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_pep.fa,"Bactrocera dorsalis Bdor_v1 MAKER annotations-BDOR1.1, translated CDS",True
866,42,2,/usr/local/i5k/media/blast/db/Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_trans.fa,Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_trans.fa,"Bactrocera dorsalis Bdor_v1 MAKER annotations-BDOR1.1, transcripts",True
114,37,1,/usr/local/i5k/media/blast/db/Bgermanica.scaffolds.fa,Blattella_germanica_scaffolds,Blattella_germanica_scaffolds,True
485,88,3,/usr/local/i5k/media/blast/db/Bradysia_coprophila.Bcop_v1.0_proteins_with_putative_function.fasta,Bradysia_coprophila.Bcop_v1.0_proteins_with_putative_function.fasta,"Bradysia_coprophila.Bcop_v1.0, proteins",True
484,88,2,/usr/local/i5k/media/blast/db/Bradysia_coprophila.Bcop_v1.0_transcripts_with_putative_function.fasta,Bradysia_coprophila.Bcop_v1.0_transcripts_with_putative_function.fasta,"Bradysia_coprophila.Bcop_v1.0, transcripts",True
830,38,2,/usr/local/i5k/media/blast/db/CAQU.Models-Caqu_2.0_cds.fa,CAQU.Models-Caqu_2.0_cds.fa,"Catajapyx aquilonaris BCM 0.5.3, CDS",True
829,38,3,/usr/local/i5k/media/blast/db/CAQU.Models-Caqu_2.0_pep.fa,CAQU.Models-Caqu_2.0_pep.fa,"Catajapyx aquilonaris BCM 0.5.3, translated CDS",True
828,38,2,/usr/local/i5k/media/blast/db/CAQU.Models-Caqu_2.0_trans.fa,CAQU.Models-Caqu_2.0_trans.fa,"Catajapyx aquilonaris BCM 0.5.3, transcripts",True
12,4,1,/usr/local/i5k/media/blast/db/Clec_Bbug02212013.genome_new_ids.fa,Clec_Bbug02212013.genome_new_ids.fa,Clec_Bbug02212013.genome_new_ids.fa,True
260,65,2,/usr/local/i5k/media/blast/db/Clitarchus_hookeri_Maker_annotations_cds.fa,Clitarchus_hookeri_Maker_annotations_cds.fa,"Clitarchus hookeri Maker annotations, CDS",True
261,65,3,/usr/local/i5k/media/blast/db/Clitarchus_hookeri_Maker_annotations_pep.fa,Clitarchus_hookeri_Maker_annotations_pep.fa,"Clitarchus hookeri Maker annotations, proteins",True
259,65,2,/usr/local/i5k/media/blast/db/Clitarchus_hookeri_Maker_annotations_trans.fa,Clitarchus_hookeri_Maker_annotations_trans.fa,"Clitarchus hookeri Maker annotations, transcripts",True
230,5,2,/usr/local/i5k/media/blast/db/Dcitr_OGSv1.0_cds.fa,Dcitr_OGSv1.0_cds.fa,"Diaphorina citri OGSv1.0, coding sequence (CDS)",True
231,5,3,/usr/local/i5k/media/blast/db/Dcitr_OGSv1.0_pep.fa,Dcitr_OGSv1.0_pep.fa,"Diaphorina citri OGSv1.0, proteins",True
