id,organism,type,fasta_file,title,description,is_shown
166,41,3,/usr/local/i5k/media/blast/db/Bradysia_coprophila.Bcop_v1.0_proteins_with_putative_function.fasta,Bradysia_coprophila.Bcop_v1.0_proteins_with_putative_function.fasta,"Bradysia_coprophila.Bcop_v1.0, proteins",True
165,41,2,/usr/local/i5k/media/blast/db/Bradysia_coprophila.Bcop_v1.0_transcripts_with_putative_function.fasta,Bradysia_coprophila.Bcop_v1.0_transcripts_with_putative_function.fasta,"Bradysia_coprophila.Bcop_v1.0, transcripts",True
47,15,3,/usr/local/i5k/media/blast/db/EAFF_new_ids.faa,EAFF_new_ids.faa,EAFF_new_ids.faa,True
46,15,2,/usr/local/i5k/media/blast/db/EAFF_new_ids.fna,EAFF_new_ids.fna,EAFF_new_ids.fna,True
45,15,1,/usr/local/i5k/media/blast/db/Eaff_11172013.genome_new_ids.fa,Eaff_11172013.genome_new_ids.fa,Eaff_11172013.genome_new_ids.fa,True
168,42,1,/usr/local/i5k/media/blast/db/GCF_001937115.1_Atum_1.0_genomic_RefSeqIDs.fna,GCF_001937115.1_Atum_1.0_genomic_RefSeqIDs.fna,Aethina tumida genome assembly GCF_001937115.1,True
170,42,3,/usr/local/i5k/media/blast/db/GCF_001937115.1_Atum_1.0_protein.faa,GCF_001937115.1_Atum_1.0_protein.faa,"NCBI annotation release 100, proteins",True
169,42,2,/usr/local/i5k/media/blast/db/GCF_001937115.1_Atum_1.0_rna_from_genomic.fna,GCF_001937115.1_Atum_1.0_rna_from_genomic.fna,"NCBI annotation release 100, RNA predicted from genomic sequence",True
160,40,2,/usr/local/i5k/media/blast/db/GCF_002443255.1_Vdes_3.0_cds_from_genomic.fna,GCF_002443255.1_Vdes_3.0_cds_from_genomic.fna,"Varroa destructor NCBI Annotation Release 100, CDS from genomic",True
159,40,1,/usr/local/i5k/media/blast/db/GCF_002443255.1_Vdes_3.0_genomic.fna,GCF_002443255.1_Vdes_3.0_genomic.fna,"Varroa destructor genome assembly, GCF_002443255.1",True
161,40,3,/usr/local/i5k/media/blast/db/GCF_002443255.1_Vdes_3.0_translated_cds.faa,GCF_002443255.1_Vdes_3.0_translated_cds.faa,"Varroa destructor  NCBI Annotation Release 100, translated CDS",True
156,39,2,/usr/local/i5k/media/blast/db/GCF_003013835.1_Dvir_v2.0_cds_from_genomic-idupdate.fna,GCF_003013835.1_Dvir_v2.0_cds_from_genomic-idupdate.fna,"Diabrotica virgifera virgifera NCBI Annotation release 100, CDS",True
153,39,1,/usr/local/i5k/media/blast/db/GCF_003013835.1_Dvir_v2.0_genomic.fna,GCF_003013835.1_Dvir_v2.0_genomic.fna,"Diabrotica virgifera virgifera genome assembly, Dvir_v2.0",True
154,39,2,/usr/local/i5k/media/blast/db/GCF_003013835.1_Dvir_v2.0_rna_from_genomic-idupdate.fna,GCF_003013835.1_Dvir_v2.0_rna_from_genomic-idupdate.fna,"Diabrotica virgifera virgifera NCBI Annotation release 100, transcripts",True
155,39,3,/usr/local/i5k/media/blast/db/GCF_003013835.1_Dvir_v2.0_translated_cds-idupdate.fna,GCF_003013835.1_Dvir_v2.0_translated_cds-idupdate.fna,"Diabrotica virgifera virgifera NCBI Annotation release 100, translated CDS",True
148,38,2,/usr/local/i5k/media/blast/db/GCF_010583005.1_Obru_v1_cds_from_genomic-idupdate.fna,GCF_010583005.1_Obru_v1_cds_from_genomic-idupdate.fna,"Odontomachus brunneus NCBI Annotation Release 100, CDS from genomic",True
151,38,1,/usr/local/i5k/media/blast/db/GCF_010583005.1_Obru_v1_genomic.fna,GCF_010583005.1_Obru_v1_genomic.fna,Odontomachus brunneus genome assembly GCF_010583005.1,True
149,38,2,/usr/local/i5k/media/blast/db/GCF_010583005.1_Obru_v1_rna_from_genomic-idupdate.fna,GCF_010583005.1_Obru_v1_rna_from_genomic-idupdate.fna,"Odontomachus brunneus NCBI Annotation Release 100, RNA from genomic",True
150,38,3,/usr/local/i5k/media/blast/db/GCF_010583005.1_Obru_v1_translated_cds-idupdate.faa,GCF_010583005.1_Obru_v1_translated_cds-idupdate.faa,"Odontomachus brunneus NCBI Annotation Release 100, translated CDS",True
163,41,2,/usr/local/i5k/media/blast/db/GCF_014529535.1_BU_Bcop_v1_cds_from_genomic.fna,GCF_014529535.1_BU_Bcop_v1_cds_from_genomic.fna,"Bradysia coprophila NCBI Annotation Release 100, CDS from genomic",True
162,41,1,/usr/local/i5k/media/blast/db/GCF_014529535.1_BU_Bcop_v1_genomic.fna,GCF_014529535.1_BU_Bcop_v1_genomic.fna,"Bradysia coprophila genome assembly, GCF_014529535.1",True
164,41,2,/usr/local/i5k/media/blast/db/GCF_014529535.1_BU_Bcop_v1_rna_from_genomic.fna,GCF_014529535.1_BU_Bcop_v1_rna_from_genomic.fna,"Bradysia coprophila NCBI Annotation Release 100, RNA from genomic",True
167,41,3,/usr/local/i5k/media/blast/db/GCF_014529535.1_BU_Bcop_v1_translated_cds.faa,GCF_014529535.1_BU_Bcop_v1_translated_cds.faa,"Bradysia coprophila NCBI Annotation Release 100, translated CDS",True
106,35,2,/usr/local/i5k/media/blast/db/HAZT.CDS.fna,HAZT.CDS.fna, Hyalella_azteca_BCM_v0.5.3_transcripts,True
107,35,3,/usr/local/i5k/media/blast/db/HAZT.faa,HAZT.faa,Hyalella_azteca_BCM_v0.5.3_proteins,True
105,35,1,/usr/local/i5k/media/blast/db/Hazt_redundans_assembly_test_3_4_2016.fa,Hazt_redundans_assembly_test_3_4_2016.fa,"Temporary genome assembly from the redundans assembler, provided by Stephen Richards at the Baylor College of Medicine - for exploratory purposes only. No Apollo instance provided. ",True
56,18,3,/usr/local/i5k/media/blast/db/LDEC_new_ids.faa,LDEC_new_ids.faa,LDEC_new_ids.faa,True
55,18,2,/usr/local/i5k/media/blast/db/LDEC_new_ids.fna,LDEC_new_ids.fna,LDEC_new_ids.fna,True
54,18,1,/usr/local/i5k/media/blast/db/Ldec.genome.10062013_new_ids.fa,Ldec.genome.10062013_new_ids.fa,Ldec.genome.10062013_new_ids.fa,True
102,34,1,/usr/local/i5k/media/blast/db/Nlec_v1_NCBI_scaffolds_GenBankIDs.fasta,Nlec_v1_NCBI_scaffolds_GenBankIDs.fasta,"Neodiprion lecontei genome assembly Nlec1.0, genomic scaffolds",True
104,34,3,/usr/local/i5k/media/blast/db/Nlec_v1_proteins_renamed_alphabetized.fasta,Nlec_v1_proteins_renamed_alphabetized.fasta,"Neodiprion lecontei genome assembly Nlec1.0, proteins",True
103,34,2,/usr/local/i5k/media/blast/db/Nlec_v1_transcripts_renamed_alphabetized.fasta,Nlec_v1_transcripts_renamed_alphabetized.fasta,"Neodiprion lecontei genome assembly Nlec1.0, transcripts",True
59,19,3,/usr/local/i5k/media/blast/db/OFAS_new_ids.faa,OFAS_new_ids.faa,OFAS_new_ids.faa,True
58,19,2,/usr/local/i5k/media/blast/db/OFAS_new_ids.fna,OFAS_new_ids.fna,OFAS_new_ids.fna,True
57,19,1,/usr/local/i5k/media/blast/db/Ofas.scaffolds_new_ids.fa,Ofas.scaffolds_new_ids.fa,Ofas.scaffolds_new_ids.fa,True
