id,blast_db,url
49,45,https://apollo.nal.usda.gov/apollo/Eurytemora_affinis_%2D_training/jbrowse/
111,54,https://apollo.nal.usda.gov/apollo/Leptinotarsa_decemlineata_training/jbrowse/
53,57,https://apollo.nal.usda.gov/apollo/Oncopeltus_fasciatus_training/jbrowse/
68,102,https://apollo.nal.usda.gov/apollo/Neodiprion_lecontei_training/jbrowse/
109,151,https://apollo.nal.usda.gov/apollo_training/Odontomachus_brunneus/jbrowse/
112,153,https://apollo.nal.usda.gov/apollo/Diabrotica_virgifera_training/jbrowse/
115,159,https://apollo.nal.usda.gov/apollo_training/Varroa_destructor/jbrowse/
116,162,https://apollo.nal.usda.gov/apollo_training/Bradysia_coprophila/jbrowse/
117,168,https://apollo.nal.usda.gov/apollo/Aethina_tumida_training/jbrowse/
118,171,https://apollo.nal.usda.gov/apollo/Oncopeltus_fasciatus_ihOncFasc_HiC_hap1_scaffold_training/jbrowse/
120,172,https://apollo.nal.usda.gov/apollo/Oncopeltus_fasciatus_ihOncFasc_HiC_hap2_scaffold_training/jbrowse/
