              src              |                          title                          |                                                  description                                                  |             checksum             |    genus    |   species    
-------------------------------+---------------------------------------------------------+---------------------------------------------------------------------------------------------------------------+----------------------------------+-------------+--------------
 django.hmmer_hmmerdb          | BGER.faa                                                | Blattella_germanica_BCM_v0.5.3_proteins                                                                       | d25988ebb5584d164c3d8cb836c38f99 | Blattella   | germanica
 django.hmmer_hmmerdb          | DTAK.faa                                                | Drosophila takahashii Maker proteins v0.5.3 (BCM)                                                             | cffd685f84dd2e80126a2362bd2bbf47 | Drosophila  | takahashii
 django.hmmer_hmmerdb          | GCF_000224235.1_Dtak_2.0_protein.faa                    | Drosophila takahashii Annotation Release 101 (GCF_000224235.1), proteins                                      | 6f5f7d265b06dfa83e79b422022b6956 | Drosophila  | takahashii
 django_training.hmmer_hmmerdb | AROS_new_ids.faa                                        | Athalia rosae Maker proteins v0.5.3 (BCM)                                                                     | 74a6db518834f843c88aa4e27be2e0de | Athalia     | rosae
 django_training.blast_blastdb | HAZT.CDS.fna                                            | Hyalella_azteca_BCM_v0.5.3_transcripts                                                                        | b986a7ceeced0eaedaf195817f0fd353 | Hyalella    | azteca
 django.hmmer_hmmerdb          | GCF_001412515.1_Dall1.0_protein.faa                     | Diachasma alloeum Annotation Release 100 (GCF_001412515.1), proteins                                          | b6a1e3a6bdb4233433b8ce578e4b7ede | Diachasma   | alloeum
 django.hmmer_hmmerdb          | GCF_003013835.1_Dvir_v2.0_translated_cds.faa            | Diabrotica virgifera Annotation Release 100 (GCF_003013835.1), translated CDS predicted from genomic sequence | 1b4166a63d36b4884fbb0577f65d209d | Diabrotica  | virgifera
 django_training.blast_blastdb | GCF_002443255.1_Vdes_3.0_translated_cds.faa             | Varroa destructor  NCBI Annotation Release 100, translated CDS                                                | b85139d26344b4b407264256d9cc0f2b | Varroa      | destructor
 django_training.blast_blastdb | GCF_002443255.1_Vdes_3.0_genomic.fna                    | Varroa destructor genome assembly, GCF_002443255.1                                                            | 61dec228af58cba51ede09325ed1f820 | Varroa      | destructor
 django_training.blast_blastdb | GCF_002443255.1_Vdes_3.0_cds_from_genomic.fna           | Varroa destructor NCBI Annotation Release 100, CDS from genomic                                               | 9b97b129c688749bd520b15e469e5706 | Varroa      | destructor
 django_training.blast_blastdb | GCF_001937115.1_Atum_1.0_rna_from_genomic.fna           | NCBI annotation release 100, RNA predicted from genomic sequence                                              | 67e7f02b028e021cf8e9871a1d049df7 | Aethina     | tumida
 django_training.blast_blastdb | GCF_001937115.1_Atum_1.0_protein.faa                    | NCBI annotation release 100, proteins                                                                         | d61c720365d87cac81122e60e1a888df | Aethina     | tumida
 django_training.blast_blastdb | GCF_001937115.1_Atum_1.0_genomic_RefSeqIDs.fna          | Aethina tumida genome assembly GCF_001937115.1                                                                | e022a6b2c7292d7d3c9785e7eead495b | Aethina     | tumida
 django_training.blast_blastdb | GCF_003013835.1_Dvir_v2.0_translated_cds-idupdate.fna   | Diabrotica virgifera virgifera NCBI Annotation release 100, translated CDS                                    | 80c7833cf9c900d279478a568abdae5f | Diabrotica  | virgifera
 django_training.blast_blastdb | GCF_003013835.1_Dvir_v2.0_rna_from_genomic-idupdate.fna | Diabrotica virgifera virgifera NCBI Annotation release 100, transcripts                                       | 30aca5a312f2190d45f3da8f3ce547b2 | Diabrotica  | virgifera
 django_training.blast_blastdb | GCF_003013835.1_Dvir_v2.0_genomic.fna                   | Diabrotica virgifera virgifera genome assembly, Dvir_v2.0                                                     | 3f6453b267e5654319f450b37444caa4 | Diabrotica  | virgifera
