id,short_name,genus,species,tax_id,infraspecies,is_shown
6,drobia,Drosophila,biarmipes,125945,,t
29,limlun,Limnephilus,lunatus,1218281,,t
34,mansex,Manduca,sexta,7130,,t
20,oruabi,Orussus,abietinus,222816,,t
21,pacven,Pachypsylla,venusta,38123,,t
1,anogla,Anoplophora,glabripennis,217634,,t
32,tigcal,Tigriopus,californicus,6832,,t
2,athros,Athalia,rosae,37344,,t
3,cercap,Ceratitis,capitata,7213,,t
4,cimlec,Cimex,lectularius,79782,,t
5,diacit,Diaphorina,citri,121845,,t
7,drobip,Drosophila,bipectinata,42026,,t
8,droele,Drosophila,elegans,30023,,t
9,droeug,Drosophila,eugracilis,29029,,t
10,drofic,Drosophila,ficusphila,30025,,t
11,drokik,Drosophila,kikkawai,30033,,t
12,drorho,Drosophila,rhopaloa,1041015,,t
13,drotak,Drosophila,takahashii,29030,,t
14,ephdan,Ephemera,danica,1049336,,t
15,euraff,Eurytemora,affinis,88015,,t
16,fraocc,Frankliniella,occidentalis,133901,,t
17,ladful,Ladona,fulva,123851,,t
18,lepdec,Leptinotarsa,decemlineata,7539,,t
19,oncfas,Oncopeltus,fasciatus,7536,,t
22,partep,Parasteatoda,tepidariorum,114398,,t
23,tripre,Trichogramma,pretiosum,7493,,t
65,clihoo,Clitarchus,hookeri,325643,,t
25,copflo,Copidosoma,floridanum,29053,,t
26,gerbue,Gerris,buenoi,56086,,t
27,homvit,Homalodisca,vitripennis,197043,,t
28,lathes,Latrodectus,hesperus,256737,,t
24,censcu,Centruroides,sculpturatus,6879,,t
66,holduo,Holacanthella,duospinosa,1983282,,t
104,schgre,Schistocerca,gregaria,7010,,t
30,loxrec,Loxosceles,reclusa,6921,,t
31,onttau,Onthophagus,taurus,166361,,t
33,agrpla,Agrilus,planipennis,224129,,t
35,maydes,Mayetiola,destructor,39758,,t
37,blager,Blattella,germanica,6973,,t
38,cataqu,Catajapyx,aquilonaris,438503,,t
41,fopari,Fopius,arisanus,64838,,t
42,bacdor,Bactrocera,dorsalis,27457,,t
44,amytra,Amyelois,transitella,680683,,t
45,bacole,Bactrocera,oleae,104688,,t
46,micdem,Microplitis,demolitor,69319,,t
48,hablab,Habropoda,laboriosa,597456,,t
49,lasalb,Lasioglossum,albipes,88501,,t
50,megrot,Megachile,rotundata,143995,,t
52,dufnov,Dufourea,novaeangliae,178035,,t
53,melqua,Melipona,quadrifasciata,166423,,t
54,tricas,Tribolium,castaneum,7070,,t
55,rhazep,Rhagoletis,zephyria,28612,,t
56,diaall,Diachasma,alloeum,454923,,t
57,cepcin,Cephus,cinctus,211228,,t
58,nicves,Nicrophorus,vespilloides,110193,,t
67,medext,Medauroidea,extradentata,614211,,t
68,mamcon,Mamestra,configurata,174822,,t
69,apimel,Apis,mellifera,7460,,t
60,locmig,Locusta,migratoria,7004,,t
61,eugdil,Euglossa,dilemma,1507135,,t
62,bemtab,Bemisia,tabaci,7038,,t
63,helvir,Heliothis,virescens,7102,,t
64,rhimic,Rhipicephalus,microplus,2797,,t
70,bomter,Bombus,terrestris,30195,,t
71,eufmex,Eufriesea,mexicana,516756,,t
72,bomimp,Bombus,impatiens,132113,,t
